;match_id;duration;start_time;radiant_team_id;radiant_name;dire_team_id;dire_name;leagueid;league_name;series_id;series_type;radiant_score;dire_score;radiant_win;version
0;7616118071;2520;1709335039;9323850;Chompers X;9330146;Sporkface Killaz Div2;16077;NADCL Season 6;854869;1;25;45;False;21
1;7616115829;1931;1709334856;8957156;Silent killer;8936613;Wild Dragon;16109;Dota 2 Space League;854860;1;18;39;False;21
2;7616113141;2866;1709334600;9316648;Degen Dinos;2584175;Continuum Esports Gold;16077;NADCL Season 6;854868;2;40;24;True;21
3;7616112364;2952;1709334743;5208684;;9323799;copeDAO Kitsune;16077;NADCL Season 6;854867;1;18;18;True;21
4;7616111742;2580;1709334499;9247260;YodiBrodi Nexus Future;9324046;Continuum Esports Blue;16077;NADCL Season 6;854866;1;16;36;False;21
5;7616110516;2561;1709334404;9324057;Pronouns2;9324103;Degen Dinos Div2;16077;NADCL Season 6;854865;1;30;40;False;21
6;7616107431;3140;1709334174;9323845;Chompers;9324049;Pronouns;16077;NADCL Season 6;854864;3;41;29;True;21
7;7616098565;2981;1709333384;7913999;Midas Club;8366687;DEMONIOS;16233;RES - Regional Series LATAM 1;854850;1;55;32;True;21
8;7616081239;1752;1709331945;8936613;Wild Dragon;8957156;Silent killer;16109;Dota 2 Space League;854860;1;29;19;True;21
9;7616055939;3858;1709330291;9255706;Aurora.1xBet;39;Shopify Rebellion;16201;DreamLeague Season 22 powered by Intel;854839;1;15;29;False;21
10;7616026764;2344;1709328662;8849833;VERTEX PACK;8849850;HELLBEAR HEROES;16109;Dota 2 Space League;854827;1;34;45;False;21
11;7616010476;3591;1709327834;7913999;Midas Club;8366687;DEMONIOS;16233;RES - Regional Series LATAM 1;854850;1;42;23;True;21
12;7615978165;2267;1709326121;39;Shopify Rebellion;9255706;Aurora.1xBet;16201;DreamLeague Season 22 powered by Intel;854839;1;28;5;True;21
13;7615969957;2174;1709325741;8849850;HELLBEAR HEROES;8849833;VERTEX PACK;16109;Dota 2 Space League;854827;1;31;27;True;21
14;7615934413;2004;1709324074;9302841;South Team;9292719;;16233;RES - Regional Series LATAM 1;854799;1;33;14;True;21
15;7615919472;1776;1709323439;8849833;VERTEX PACK;8849850;HELLBEAR HEROES;16109;Dota 2 Space League;854827;1;24;18;True;21
16;7615907583;1375;1709322877;9209880;Prodigy Of God;9225431;TEIKO;15901;Ultras Dota Pro League  2023-24;854803;1;8;43;False;21
17;7615887364;1155;1709321995;8971308;x5 Gaming;9239578;Shark Boys;16323;DSAC Invitational S1;854795;1;30;7;True;21
18;7615837876;2911;1709320558;8599101;Gaimin Gladiators;9247354;Team Falcons;16201;DreamLeague Season 22 powered by Intel;854764;1;32;33;False;21
19;7615835064;2002;1709319860;9225431;TEIKO;9209880;Prodigy Of God;15901;Ultras Dota Pro League  2023-24;854803;1;41;12;True;21
20;7615826785;2539;1709319609;9292719;;9302841;South Team;16233;RES - Regional Series LATAM 1;854799;1;41;24;True;21
21;7615816949;1608;1709319151;9239578;Shark Boys;8971308;x5 Gaming;16323;DSAC Invitational S1;854795;1;18;40;False;21
22;7615749734;1694;1709316546;9088071;EYE Gaming;9225431;TEIKO;15901;Ultras Dota Pro League  2023-24;854728;1;12;40;False;21
23;7615748933;2150;1709316347;9247354;Team Falcons;8599101;Gaimin Gladiators;16201;DreamLeague Season 22 powered by Intel;854764;1;33;5;True;21
24;7615652918;2206;1709312722;9225431;TEIKO;9088071;EYE Gaming;15901;Ultras Dota Pro League  2023-24;854728;1;18;43;False;21
25;7615645410;2431;1709312449;9291798;Passion UA;9162417;Nightshade Esports;15898;European Pro League  2023-2024 Season;854720;1;34;46;False;21
26;7615628356;2585;1709311810;8367062;Pacific ;9302841;South Team;16323;DSAC Invitational S1;854718;1;47;35;True;21
27;7615556063;2372;1709309407;9088071;EYE Gaming;9225431;TEIKO;15901;Ultras Dota Pro League  2023-24;854728;1;25;40;False;21
28;7615546892;3585;1709309640;8255888;BetBoom Team;2586976;OG;16201;DreamLeague Season 22 powered by Intel;854691;1;37;13;True;21
29;7615516423;2164;1709308897;9162417;Nightshade Esports;9291798;Passion UA;15898;European Pro League  2023-2024 Season;854720;1;23;28;True;21
30;7615506382;2568;1709307680;9302841;South Team;8367062;Pacific ;16323;DSAC Invitational S1;854718;1;30;29;False;21
31;7615435729;1835;1709305920;2586976;OG;8255888;BetBoom Team;16201;DreamLeague Season 22 powered by Intel;854691;1;6;25;False;21
32;7615408745;2818;1709304500;9088071;EYE Gaming;8957652;KIBA ARMS;15901;Ultras Dota Pro League  2023-24;854678;1;34;55;False;21
33;7615326007;2272;1709301871;9247798;Team Hryvnia;9279613;Team Bars;15898;European Pro League  2023-2024 Season;854681;1;34;19;True;21
34;7615290848;2189;1709301170;8255888;BetBoom Team;2586976;OG;16201;DreamLeague Season 22 powered by Intel;854691;1;11;17;False;21
35;7615269042;2418;1709300025;9088071;EYE Gaming;8957652;KIBA ARMS;15901;Ultras Dota Pro League  2023-24;854678;1;38;39;True;21
36;7615214739;2136;1709298326;9247798;Team Hryvnia;9279613;Team Bars;15898;European Pro League  2023-2024 Season;854681;1;30;16;True;21
37;7615171434;2297;1709296674;8957652;KIBA ARMS;9088071;EYE Gaming;15901;Ultras Dota Pro League  2023-24;854678;1;35;30;True;21
38;7615132834;2687;1709295780;8261500;Xtreme Gaming;7119388;Team Spirit;16201;DreamLeague Season 22 powered by Intel;854659;1;32;14;True;21
39;7615066744;2593;1709291942;8769201;HAVU;9271759;MONTE ;15898;European Pro League  2023-2024 Season;854660;1;29;42;False;21
40;7615064681;2041;1709291843;8829924;Rabbits of Revenge;8957652;KIBA ARMS;15901;Ultras Dota Pro League  2023-24;854661;1;26;54;False;21
41;7615041849;2323;1709291520;7119388;Team Spirit;8261500;Xtreme Gaming;16201;DreamLeague Season 22 powered by Intel;854659;1;29;7;True;21
42;7615017846;1193;1709289376;8629315;Wiser Warriors;8629005;Flawless Goblins;16059;Destiny League;854658;1;10;29;False;21
43;7615007981;1765;1709288912;8957652;KIBA ARMS;8829924;Rabbits of Revenge;15901;Ultras Dota Pro League  2023-24;854661;1;36;18;True;21
44;7614990064;1401;1709287726;9330485;BulletProofs;8893840;Big Bang Gaming;15819;Ancients League;854654;1;11;48;False;21
45;7614979567;1616;1709289034;8769201;HAVU;9271759;MONTE ;15898;European Pro League  2023-2024 Season;854660;1;7;38;False;21
46;7614970519;2782;1709286900;8261500;Xtreme Gaming;7119388;Team Spirit;16201;DreamLeague Season 22 powered by Intel;854659;1;30;23;True;21
47;7614961721;2475;1709286134;8629005;Flawless Goblins;8629315;Wiser Warriors;16059;Destiny League;854658;1;55;42;True;21
48;7614950940;1714;1709285344;8893840;Big Bang Gaming;9330485;BulletProofs;15819;Ancients League;854654;1;38;41;False;21
49;7614917421;1521;1709283219;9330485;BulletProofs;8893840;Big Bang Gaming;15819;Ancients League;854654;1;21;44;False;21
50;7614908627;1783;1709282771;8629014;Dragon Blood;2443375;Foxy gaming;16059;Destiny League;854652;1;17;36;False;21
51;7614872976;1883;1709280289;8629315;Wiser Warriors;8629318;Mad Monkeys;16059;Destiny League;854649;1;27;44;False;21
52;7614872608;1551;1709280385;2443375;Foxy gaming;8629014;Dragon Blood;16059;Destiny League;854652;1;18;10;True;21
53;7614871425;2104;1709280169;9332046;Dominatrix;9330489;ThunderLab;15819;Ancients League;854648;1;24;22;True;21
54;7614836641;1959;1709277684;8629318;Mad Monkeys;8629315;Wiser Warriors;16059;Destiny League;854649;1;39;26;True;21
55;7614834583;2036;1709277513;9330489;ThunderLab;9332046;Dominatrix;15819;Ancients League;854648;1;30;48;False;21
56;7614823826;1553;1709276798;8629324;Swift Knights;8629327;Sworn Die;16059;Destiny League;854640;1;13;22;False;21
57;7614806329;1244;1709275343;8936507;FenixTeam;8893837;Parallel eSports;15819;Ancients League;854639;1;10;30;False;21
58;7614800625;1847;1709274913;8629014;Dragon Blood;8629005;Flawless Goblins;16059;Destiny League;854638;1;38;22;True;21
59;7614789915;1664;1709274265;8629324;Swift Knights;8629327;Sworn Die;16059;Destiny League;854640;1;20;11;True;21
60;7614778547;1648;1709273097;8893837;Parallel eSports;8936507;FenixTeam;15819;Ancients League;854639;1;21;37;False;21
61;7614774925;1462;1709272822;8629005;Flawless Goblins;8629014;Dragon Blood;16059;Destiny League;854638;1;23;10;True;21
62;7614760696;1509;1709271683;8629327;Sworn Die;8629324;Swift Knights;16059;Destiny League;854640;1;19;10;True;21
63;7614754297;1455;1709271055;8936507;FenixTeam;8893837;Parallel eSports;15819;Ancients League;854639;1;17;29;False;21
64;7614749518;1436;1709270664;8629014;Dragon Blood;8629005;Flawless Goblins;16059;Destiny League;854638;1;28;15;True;21
65;7614728424;2373;1709268848;9302584;Ardour;9156114;TEAM FREEDOM ESPORT;16248;Opus League ;854630;1;27;38;False;21
66;7614726148;1596;1709268743;8629318;Mad Monkeys;8629317;Bright Crusaders;16059;Destiny League;854628;1;15;28;False;21
67;7614722148;1810;1709268310;9330493;RuleBreakers;9018528;Crew X;15819;Ancients League;854629;1;21;33;False;21
68;7614719695;1686;1709268120;8629327;Sworn Die;2443375;Foxy gaming;16059;Destiny League;854613;1;36;21;True;21
69;7614697392;1473;1709266225;9018528;Crew X;9330493;RuleBreakers;15819;Ancients League;854629;1;28;12;True;21
70;7614696444;1690;1709266146;9156114;TEAM FREEDOM ESPORT;9302584;Ardour;16248;Opus League ;854630;1;21;35;False;21
71;7614694986;1806;1709266094;8629317;Bright Crusaders;8629318;Mad Monkeys;16059;Destiny League;854628;1;28;9;True;21
72;7614692976;1578;1709265884;2443375;Foxy gaming;8629327;Sworn Die;16059;Destiny League;854613;1;25;20;True;21
73;7614661131;1659;1709262955;8629327;Sworn Die;2443375;Foxy gaming;16059;Destiny League;854613;1;37;20;True;21
74;7614613764;1813;1709258696;8849990;REAL ECLIPSE;8850016;FLYING FORTUNE;16109;Dota 2 Space League;854559;1;22;26;False;21
75;7614582427;2231;1709255486;8850016;FLYING FORTUNE;8849990;REAL ECLIPSE;16109;Dota 2 Space League;854559;1;39;31;True;21
76;7614573424;2310;1709254432;7913999;Midas Club;9081369;Infamous Gaming;16233;RES - Regional Series LATAM 1;854548;1;24;23;True;21
77;7614555870;1884;1709252468;8849990;REAL ECLIPSE;8850016;FLYING FORTUNE;16109;Dota 2 Space League;854559;1;35;27;True;21
78;7614521237;2178;1709249320;8849850;HELLBEAR HEROES;8957156;Silent killer;16109;Dota 2 Space League;854539;1;28;37;False;21
79;7614515782;3173;1709248451;7913999;Midas Club;9081369;Infamous Gaming;16233;RES - Regional Series LATAM 1;854548;1;37;15;True;21
80;7614477157;1982;1709245182;8957156;Silent killer;8849850;HELLBEAR HEROES;16109;Dota 2 Space League;854539;1;25;22;True;21
81;7614470893;1798;1709244653;9302841;South Team;8375259;Infinity;16233;RES - Regional Series LATAM 1;854526;1;44;13;True;21
82;7614438745;1821;1709242382;8936613;Wild Dragon;8850100;TOXIC TEAM;16109;Dota 2 Space League;854511;1;31;16;True;21
83;7614408425;1775;1709240873;9302841;South Team;8375259;Infinity;16233;RES - Regional Series LATAM 1;854526;1;11;26;False;21
84;7614393025;2038;1709239673;8850100;TOXIC TEAM;8936613;Wild Dragon;16109;Dota 2 Space League;854511;1;39;18;True;21
85;7614352142;1705;1709237424;8366687;DEMONIOS;9298291;;16233;RES - Regional Series LATAM 1;854512;1;10;29;False;21
86;7614346104;1579;1709237397;8936613;Wild Dragon;8850100;TOXIC TEAM;16109;Dota 2 Space League;854511;1;26;20;True;21
87;7614280981;2280;1709234034;9292719;;8366687;DEMONIOS;16233;RES - Regional Series LATAM 1;854495;1;38;19;True;21
88;7613983884;2452;1709222214;9162417;Nightshade Esports;9279613;Team Bars;15898;European Pro League  2023-2024 Season;854424;1;41;21;True;21
89;7613846193;3192;1709217340;9162417;Nightshade Esports;9279613;Team Bars;15898;European Pro League  2023-2024 Season;854424;1;35;57;True;21
90;7613821026;1792;1709216516;8831040;Ghost Sheep;9344594;Dominion;15901;Ultras Dota Pro League  2023-24;854423;1;36;19;True;21
91;7613746595;1392;1709214386;9162417;Nightshade Esports;9279613;Team Bars;15898;European Pro League  2023-2024 Season;854424;1;5;35;False;21
92;7613739444;1585;1709213845;9344594;Dominion;8831040;Ghost Sheep;15901;Ultras Dota Pro League  2023-24;854423;1;14;43;False;21
93;7613710092;2550;1709213336;2586976;OG;8724984;Virtus.pro;16201;DreamLeague Season 22 powered by Intel;854418;0;39;19;True;21
94;7613616538;3030;1709209470;9352573;Night Pulse;9247798;Team Hryvnia;15898;European Pro League  2023-2024 Season;854394;1;49;28;True;21
95;7613602447;2436;1709208817;9088071;EYE Gaming;8957652;KIBA ARMS;15901;Ultras Dota Pro League  2023-24;854400;1;31;32;False;21
96;7613598339;2710;1709208650;8724984;Virtus.pro;8599101;Gaimin Gladiators;16201;DreamLeague Season 22 powered by Intel;854402;0;10;29;False;21
97;7613535393;1532;1709205922;8957652;KIBA ARMS;9088071;EYE Gaming;15901;Ultras Dota Pro League  2023-24;854400;1;35;16;True;21
98;7613532296;1751;1709205743;8629318;Mad Monkeys;8629327;Sworn Die;16059;Destiny League;854390;1;37;28;True;21
99;7613529852;1768;1709205623;9352573;Night Pulse;9247798;Team Hryvnia;15898;European Pro League  2023-2024 Season;854394;1;26;15;True;21
